,STT,Ngày tiếp nhận hồ sơ,Họ và tên,SĐT,Email,Prework,Đặc điểm ứng viên,Công ty hiện tại,Vị trí hiện tại,Ví trí có thể phù hợp,Unnamed: 10,Unnamed: 11,Tình trạng,Nguồn,FALSE,Mức độ tiềm năng
17,,2023-09-17 00:00:00,Ngô Vi Đông,799674443,ZLiCGcyDBjzdI@gmail.com,,,,,,,,,,FALSE,
18,,2023-09-17 00:00:00,Lưu Thị Hà Thu,409704227,zpMTSmFWSQkCv@gmail.com,,,,,,,,,,FALSE,
19,,2023-09-20 00:00:00,Trịnh Thùy Dương,327961756,SnrxlAYRHHoKH@gmail.com,,,,,,,,,,FALSE,
20,,2023-09-16 00:00:00,Uông Thị Dung,825098452,LzdwWYgeXGcJw@gmail.com,,Đã hẹn 10h00 T4 22/09,,,,,,,,FALSE,
21,,2023-09-20 00:00:00,Trương Hà Anh,138044826,MJQjdWsMKaEoi@gmail.com,,Đã hẹn 10h30 T4 22/09,,,,,,,,FALSE,
22,,2023-09-20 00:00:00,Lê Thanh Phương,089390592,WmABBdmDFrHuH@gmail.com,,Đã hẹn 16h00 T4 22/09,,,,,,,,FALSE,
23,,2023-09-16 00:00:00,Phạm Kim Chi,648343652,IIkihZafPOYNw@gmail.com,,Còn đi học,,,,,,,,FALSE,
24,,2023-09-20 00:00:00,Nguyễn Thị Thu Phương,334122150,RyQdFBiosetTi@gmail.com,,,,,,,,,,FALSE,
25,,2023-09-20 00:00:00,Ngô Thị Ngọc Anh,640155001,EVkmvVZNDFNLk@gmail.com,,,,,,,,,,FALSE,
26,,2023-09-20 00:00:00,Đào Thị Ngọc Anh,553529635,dPoAfwktdulvA@gmail.com,,Đã tìm đc cv khác,,,,,,,,FALSE,
27,,2019-11-01 00:00:00,Nguyễn Thị Oanh,467676598,GViLGpknigqEw@gmail.com,,,,,,,,,FB,FALSE,
28,,,Bùi Khánh Linh,026376454,xyRmvIIdJnQSH@gmail.com,,,,,,,,,FB,FALSE,
29,,,Nguyễn Phương Thảo,156110184,oxedUDXdbPcuR@gmail.com,,,,,,,,,FB,FALSE,
30,,,Trần Văn Cúc,585181935,rXVUXloabyCbU@gmail.com,,,,,,,,,FB,FALSE,
31,,,Đặng Thái Sơn,862695372,slfntvnvaoaFm@gmail.com,,,,,,,,,FB,FALSE,
32,,2019-08-12 00:00:00,Phạm Ngọc Thành,579210659,hCdvWxDJHNGlj@gmail.com,,,,,,,,,Career Builder,FALSE,
33,,2019-11-01 00:00:00,Nguyễn Phương Thuý,496816497,xdEvVawmzHlvF@gmail.com,,,,,,,,,Career Builder,FALSE,
34,,2023-12-14 00:00:00,Đồng Hồng Hà,705626745,ztdZyNEVxtrfd@gmail.com,,,,,,,,,TOPCV,FALSE,
35,,2023-12-15 00:00:00,Nguyễn Phúc Hoàng Thăng,068270099,mAKpUbhZprLEn@gmail.com,,,,,,,,,TOPCV,FALSE,
36,,2023-12-23 00:00:00,Hoàng Minh Thúy,880690490,ibJhYzRwbhnlA@gmail.com,,,,,,,,,TOPCV,FALSE,
37,,2023-12-27 00:00:00,Nguyễn Tiến Dũng,540442837,LejtqPJILSyXQ@gmail.com,,,,,,,,,FB,FALSE,
38,,2020-03-01 00:00:00,Phạm Thị Thùy Linh,890890946,aICzhWHsVfEFm@gmail.com,,,,,,,,,FB,FALSE,
39,,2020-03-01 00:00:00,Thảo Bùi,125080604,QtldCQoUGeBIn@gmail.com,,,,,,,,,,FALSE,
40,,2020-04-01 00:00:00,Vũ Hữu Thành,646235958,rWrFeFCcfmLHC@gmail.com,,,,,,,,,FB,FALSE,
41,,2020-04-01 00:00:00,Lê Phương Anh,069333204,mxMhbPkcEZKYm@gmail.com,,,,,,,,,TOPCV,FALSE,
42,,2020-06-01 00:00:00,Trần Thị Linh,854121559,UrepnxPfovqkl@gmail.com,,,,,,,,,,FALSE,
43,,2020-10-01 00:00:00,Nguyễn Đình Khánh,071721374,IlgYRIscDPLSC@gmail.com,,,,,,,,,,FALSE,
44,,2023-01-25 00:00:00,Nguyễn Ngọc Quỳnh,872183692,sLpaxTKxLWXOX@gmail.com,,,,,,,,,,FALSE,
45,,2023-01-31 00:00:00,Trần Thị Trà My,615781360,FxoKFmRpcPYHD@gmail.com,,,,,,,,,,FALSE,
46,,,Lê Thị Huế,011321828,kZZTNAJdFaufK@gmail.com,,,,,,,,,Anh Trường,FALSE,
47,,2023-01-31 00:00:00,Ngô Thị Hoàng Yến,181954063,UofBqzkmlplfz@gmail.com,,,,,,,,,TOPCV,FALSE,
48,,2020-07-02 00:00:00,Nguyễn Hà My,637524225,NoGwVAotkkpVy@gmail.com,,,,,,,,,FB,FALSE,
49,,2020-08-02 00:00:00,Đỗ Kiều Oanh,385631213,eklTYqKOoVLgs@gmail.com,,,,,,,,,TOPCV,FALSE,
50,,2020-08-02 00:00:00,Đỗ Minh Vân,911861583,zwFgJrIFxfOHU@gmail.com,,,,,,,,,TOPCV,FALSE,
51,,2023-02-17 00:00:00,Đỗ Thị Bích Sang,517356392,bLxNHANHvtOZt@gmail.com,,,,,,,,,TOPCV,FALSE,
52,,2023-02-17 00:00:00,Đỗ Thị Trang,331859205,ScSVzADNeMAHL@gmail.com,,,,,,,,,TOPCV,FALSE,
53,,2023-02-19 00:00:00,Mạnh,447952550,lvErLWckVWPxe@gmail.com,,,,,,,,,,FALSE,
54,,2023-02-24 00:00:00,Nguyễn Phương Nhung,398112449,usFisqdRMxyoy@gmail.com,,,,,,,,,,FALSE,
55,,2023-02-26 00:00:00,Nguyễn Thị Thu Huyền,586415420,pMxHpdQVTmdlo@gmail.com,,,,,,,,,,FALSE,
56,,2023-02-27 00:00:00,Nguyễn Hữu Hoài,195222250,RJTcjPujyIPrO@gmail.com,,,,,,,,,,FALSE,
57,,2020-04-03 00:00:00,Pham Thi Thanh Hoa,086002878,SLsfISkQUKqnD@gmail.com,,,,,,,,,,FALSE,
58,,2020-04-03 00:00:00,Lê Thị Ánh,226381237,XxTGVJhLvlYkI@gmail.com,,,,,,,,,,FALSE,
59,,2020-04-03 00:00:00,Trinh Phuong Thao,767576380,AayFtjtGsLrLL@gmail.com,,,,,,,,,,FALSE,
60,,2020-11-03 00:00:00,Trịnh Thanh Thúy,389021344,qaEryOBHutmRj@gmail.com,,,,,,,,,,FALSE,
61,,,Nguyễn Văn Hùng,338523084,gYHFTIjzdMZxa@gmail.com,,,,,,,,,,FALSE,
62,,,Nguyễn Đức Quang,797470345,QdNNtnswHjDYH@gmail.com,,,,,,,,,,FALSE,
63,,,Hải Phương,144810030,EBkLkDxZWEHPo@gmail.com,,,,,,,,,,FALSE,
64,,,Nguyễn Y Vân,200745098,CidnQzPTJAbaJ@gmail.com,,,,,,,,,,FALSE,
65,,,Phạm Minh Nguyệt,073352030,VPEYixDUeuTPK@gmail.com,,,,,,,,,,FALSE,
66,,,Võ Quý Nhân,501530106,XqYpyfPtduEmP@gmail.com,,,,,,,,,,FALSE,
67,,,Hoàng Thị Kim Quế,055712022,MSXNtsIAPaKJU@gmail.com,,,,,,,,,,FALSE,
68,,2023-03-31 00:00:00,Dương Liêu Hồ,424701858,vRwpFGVGuFXJB@gmail.com,,,,,,,,,,FALSE,
69,,2023-03-31 00:00:00,Hà Lê Huyền Anh,842763451,EixTEuLjUyklp@gmail.com,,,,,,,,,,FALSE,
70,,2023-03-31 00:00:00,Tô Chí Hướng,863601229,PiHpjGmShdYME@gmail.com,,,,,,,,,,FALSE,
71,,2023-03-31 00:00:00,Phan Phương Nam,998402045,zVMWtafDBfrWk@gmail.com,,,,,,,,,,FALSE,
72,,2023-03-31 00:00:00,Nguyễn Thị Ngọc Huyền,036952581,HGwfaMfukgRVX@gmail.com,,,,,,,,,,FALSE,
73,,2023-03-31 00:00:00,Nguyễn Mạnh Cường,107687793,erjocistydPIy@gmail.com,,,,,,,,,,FALSE,
74,,2023-03-31 00:00:00,Đỗ Trí Trung,575179166,fWaNhRfqNfLWG@gmail.com,,,,,,,,,,FALSE,
75,,2023-03-31 00:00:00,Đặng Thu Trang,622977256,ualMpVXMRgmfs@gmail.com,,,,,,,,,,FALSE,
76,,2023-03-31 00:00:00,Trần Thanh Hòa,558012307,BeGSukFjvgBKN@gmail.com,,,,,,,,,,FALSE,
77,,2023-03-31 00:00:00,Đỗ Thị Lý,285635763,dqwAoHAMPsWSS@gmail.com,,,,,,,,,,FALSE,
78,,2023-03-31 00:00:00,Nguyễn Thị Thúy,291419282,ylOjMvpaqOsrq@gmail.com,,,,,,,,,,FALSE,
79,,2020-02-04 00:00:00,Phạm Hà Minh Trang,849823580,szahfMdwdjddD@gmail.com,,,,,,,,,,FALSE,
80,,,Võ Hữu Nhân,937544984,hfkYeNExembmc@gmail.com,,,,,,,,,,FALSE,
81,,,Nguyễn Thị Mai Hương,947072198,sOdItnbJHTPpT@gmail.com,,,,,,,,,,FALSE,
82,,,Ngô Thị Thu Trang,164421449,dPMjBWEbWacOG@gmail.com,,,,,,,,,,FALSE,
83,,,Khuất Thị Mai,099821650,TTqeRPPtrRANA@gmail.com,,,,,,,,,,FALSE,
84,,,Nguyễn Thị Thùy Dung,840951654,ocFIJmBRdXqYg@gmail.com,,,,,,,,,,FALSE,
85,,,Nguyễn Thị Vân Anh,765898026,gihGEqichRFvZ@gmail.com,,,,,,,,,,FALSE,
86,,,Ninh Thúy Ngân,821116516,mjFbWTDZbovQn@gmail.com,,,,,,,,,,FALSE,
87,,2023-04-27 00:00:00,Lương Phạm Linh Duyên,565212897,lbrHJxaztvCUR@gmail.com,,,,,,,,,,FALSE,
88,,2023-04-29 00:00:00,Nguyễn Thị Thu Hằng,314474659,EkSJFHpDHIKWL@gmail.com,,,,,,,,,,FALSE,
89,,,Nguyễn Thảo Linh,678400751,bCZHbZasweTrm@gmail.com,,,,,,,,,,FALSE,
90,,2020-07-05 00:00:00,Nguyễn Anh Thư,005142976,LowANraahcMTa@gmail.com,,,,,,,,,,FALSE,
91,,2020-07-05 00:00:00,Đỗ Thị Minh Trang,313722804,VyAAIhRAOtOKG@gmail.com,,,,,,,,,,FALSE,
92,,2020-12-05 00:00:00,Hà Trung Hiền,083864393,uHzGmWxkqwIjX@gmail.com,,,,,,,,,,FALSE,
93,,2020-12-05 00:00:00,Ngô Văn Tuấn,227646467,sAjnOndYLKGHF@gmail.com,,,,,,,,,,FALSE,
94,,,Nguyễn Thị Thu Uyên,142253509,uTjrPDsuouQJP@gmail.com,,,,,,,,,,FALSE,
95,,,Nguyễn Hoàng Anh,915212636,jRzUfyRTctxFq@gmail.com,,,,,,,,,,FALSE,
96,,,Trần Hoàng Nam,567053374,yaWRMXRFuQPOE@gmail.com,,,,,,,,,,FALSE,
97,,,Ngô Thị Minh Huế,039492637,hXCSbRRcEHFfH@gmail.com,,,,,,,,,,FALSE,
98,,,Đinh Thị Bích,596399925,pgftHeRilFrSR@gmail.com,,,,,,,,,,FALSE,
99,,,Luyện Thị Thùy Linh,479763698,qjGZePHxsnyNV@gmail.com,,,,,,,,,,FALSE,
100,,,Nguyễn Mỹ Linh,109608816,uTpHgNrNhShqQ@gmail.com,,,,,,,,,,FALSE,
101,,,Tạ Thị Hằng,714782315,ACLHAYtTLQqgw@gmail.com,,,,,,,,,,FALSE,
102,,,Nguyễn Thị Thảo,006434876,FYtWUTiggUaFd@gmail.com,,,,,,,,,,FALSE,
103,,,Đinh Thị Du Lê,103444882,QVKKfqGJdyfbx@gmail.com,,,,,,,,,,FALSE,
104,,,Trần Thị Lan,796529213,pLBwTcrccIOOc@gmail.com,,,,,,,,,,FALSE,
105,,,Nguyễn Thị Thùy Dương,691226280,hXqOrZIlVIdGq@gmail.com,,taiday,,,,,,,,FALSE,
106,,,Trần Cẩm Tú,176650251,owgSJuOgfGLOZ@gmail.com,,,,,,,,,,FALSE,
107,,,Trần Thị Thu Hương,907609817,AYsQoSSofuTtt@gmail.com,,Offer,,,,,,,,FALSE,
108,,,Phạm Ngọc Dân,354781671,tvmLAASxIyFMO@gmail.com,,,,,,,,,,FALSE,
109,,,Nguyễn Quốc Bảo,543378528,YraHDlekGvfmm@gmail.com,,,,,,,,,,FALSE,
110,,,Nguyễn Thành Đạt,139151467,LteMfKozsCCwt@gmail.com,,,,,,,,,,FALSE,
111,,,Vương Quốc Cường,843929967,MYXtKpgtPkMns@gmail.com,,,,,,,,,,FALSE,
112,,,Trần Thái Sơn,341120729,IZMlMxKkRCKCt@gmail.com,,email công ty: sontt@mindx.edu.vn,,,,,,,,FALSE,
113,,,Lê Đức Thịnh,933303914,QdLRGdjdDKniX@gmail.com,,,,,,,,,,FALSE,
114,,,Hương Giang,656748080,YGvcCJnbrtGjc@gmail.com,,,,,,,,,,FALSE,
115,,,Nguyễn Quốc Bảo,190107790,BZSlRQTwCLjQE@gmail.com,,,,,,,,,,FALSE,
116,,2020-08-06 00:00:00,Hoàng Thị Hà,523408196,HvQVAMfBPGNjl@gmail.com,,,,,,,,,,FALSE,
117,,,Nguyễn Thùy Linh,899967394,vjQaMjewkkLGP@gmail.com,,,,,,,,,,FALSE,
118,,2020-09-06 00:00:00,Phạm Thu Huyền,973096061,mAdqWVkQGNvpo@gmail.com,,Offer letter,,,,,,,,FALSE,
119,,,Phạm Thị Hậu,436643245,qVgYyGIyMCkZP@gmail.com,,Offer letter,,,,,,,,FALSE,
120,,,Vân Trâm,631221953,NVCvTYxMyuhow@gmail.com,,,,,,,,,,FALSE,
121,,,Phạm Thị Thêu,072427153,ezvNgaiaXxzjm@gmail.com,,Nhật PV,,,,,,,,FALSE,
122,,,Trần Thị Mỹ Huyền,573451454,VaSjITcYFZURo@gmail.com,,Offer,,,,,,,,FALSE,
123,,,Nguyễn Thành Trung,121231181,xQhXhgKyhJHif@gmail.com,,Offer,,,,,,,,FALSE,
124,,,Dương Trà My,647795269,FawEVOdPiiaQU@gmail.com,,Offer Letter,,,,,,,,FALSE,
125,,,Nguyễn Thị Vân Anh,651566005,jVrTpXsKoyQZY@gmail.com,,Offer,,,,,,,,FALSE,
126,,,Tường Vân,052860685,wFyhEgnOSeOcx@gmail.com,,,,,,,,,,FALSE,
127,,,Vương Thị Thúy Nga,001402484,bpXvXElKNgaiY@gmail.com,,,,,,,,,,FALSE,
128,,,Nguyễn Thị Minh Phượng,129506112,DadGnnJUEJwZV@gmail.com,,Offer,,,,,,,,FALSE,
129,,,Phạm Ngọc Tuấn,841012820,wJCeuoKJlMeCu@gmail.com,,Offer,,,,,,,,FALSE,
130,,,Hoàng Thị Thùy Trang,634059564,OQRCaxXEYDymm@gmail.com,,,,,,,,,,FALSE,
131,,,Trương Quốc Vũ,869483438,jiRJNCXCjaGWL@gmail.com,,Nhật PV,,,,,,,,FALSE,
132,,,Lại Mai Anh,367992568,uUOMBtLqqHohU@gmail.com,,,,,,,,,,FALSE,
133,,,Phạm Đức Long,195319167,rSxUvBImhHlrc@gmail.com,,,,,,,,,,FALSE,
134,,,Nguyễn Hải Anh,918167837,HgBFhirneNlFb@gmail.com,,,,,,,,,,FALSE,
135,,,Bùi Bá Hiển,030271242,JzAWfVifdTPuq@gmail.com,,,,,,,,,,FALSE,
136,,,Phạm Duy Thành,355724464,JvOqddqKnuBOB@gmail.com,,,,,,,,,,FALSE,
137,,,Phạm Cẩm Tú,863210741,hfyVlcOhjJJBb@gmail.com,,,,,,,,,,FALSE,
138,,,Hà Hương Linh,170074575,bfKrnJluBacpm@gmail.com,,,,,,,,,,FALSE,
139,,,Đồng Thị Trang,352472877,INQFfmeAICywt@gmail.com,,Offer Letter,,,,,,,,FALSE,
140,,,Nguyễn Duy Huy,275826891,OGybToYXzLtLo@gmail.com,,"Ứng viên ở Đống Đa, cần trao đổi kỹ về địa điểm làm việc
Đã Pv với Tú Anh 16/6",,,,,,,,FALSE,
141,,,Nguyễn Thùy Linh,919879893,rlWWtHJyUpRdt@gmail.com,,,,,,,,,,FALSE,
142,,,Nguyễn Minh Trang,118002155,fKMlaXiFBbMLP@gmail.com,,,,,,,,,,FALSE,
143,,,Quách Thị Quỳnh Thư,594228963,fjKFOHtUETMlZ@gmail.com,,"CÔng việc cũ về Du lịch, k phù hợp, Cũng k cần ng ở kV Thanh Xuân nữa",,,,,,,,FALSE,
144,,,Nguyễn Văn Thái,871745403,rYBGbHhQMjYNy@gmail.com,,,,,,,,,,FALSE,
145,,,Trần Việt Hoàng,117925304,oCPgRuAysfSNR@gmail.com,,,,,,,,,,FALSE,
146,,,Nguyễn Lê Ly,245674234,FsoMqJmURSHgM@gmail.com,,,,,,,,,,FALSE,
147,,,Bạch Thị Minh Phương,543013959,ZFQXxCkFeupEa@gmail.com,,,,,,,,,,FALSE,
148,,,Nguyễn Vũ Phương Thảo,872296449,bEJPvPpWeqOkO@gmail.com,,,,,,,,,,FALSE,
149,,,Vũ Thị Minh Anh,142772420,ZYUCKrEreeIQY@gmail.com,,Offer,,,,,,,,FALSE,
150,,,Hoàng Thị Ngọc,036470788,kdkxqeQLZcHqm@gmail.com,,Offer,,,,,,,,FALSE,
151,,,Nguyễn Ngọc Trâm,544744996,WwiarNodCMhpI@gmail.com,,Offer Letter,,,,,,,,FALSE,
152,,,Nguyễn Thị Nguyệt,976827118,ESrgzzStxqLmH@gmail.com,,,,,,,,,,FALSE,
153,,,Hồng Ngọc,329606896,bZGkUdjtThHhN@gmail.com,,,,,,,,,,FALSE,
154,,,Dương Thị Thanh Huyền,215191996,ZchURYKDrQKKn@gmail.com,,,,,,,,,,FALSE,
155,,,Nguyễn Thị Thành,901193563,GVDKPfeeFuPnJ@gmail.com,,,,,,,,,,FALSE,
156,,,Nguyễn Thị Hồng Hạnh,944105299,ntcXdgmVpXUch@gmail.com,,,,,,,,,,FALSE,
157,,,Nguyễn Thanh Tùng,999141699,EkdTaUZQhFveF@gmail.com,,,,,,,,,,FALSE,
158,,,Dương Minh Vương,025479971,IzgXTWAHaAHEL@gmail.com,,,,,,,,,,FALSE,
159,,,Nguyễn Thị Minh Nguyệt,395875745,mPnggcDUWEIOQ@gmail.com,,,,,,,,,,FALSE,
160,,,Nguyễn Thị Thùy Trang,808084177,YIVyEIwlTmysG@gmail.com,,,,,,,,,,FALSE,
161,,,Phạm Trọng Phan,253966023,FptbEXsCSeRcM@gmail.com,,,,,,,,,,FALSE,
162,,,Đỗ Diệu Linh,696137182,gnxlEXQSfbLSF@gmail.com,,,,,,,,,,FALSE,
163,,,Vũ Thị Mỹ Hạnh,478649161,FVCoENKdNUmYJ@gmail.com,,,,,,,,,,FALSE,
164,,,Trần Việt Bách,588868073,IAUTXtTsXvEmt@gmail.com,,,,,,,,,,FALSE,
165,,,Lê Thu Nguyệt,532169223,QJhLJeMcaaMsR@gmail.com,,,,,,,,,,FALSE,
166,,,Nguyễn Phương Quế Anh,459657490,royWhuEUQlXsg@gmail.com,,,,,,,,,,FALSE,
167,,,Nguyễn Thị Trang,967729078,pwSiLFvxtjInw@gmail.com,,,,,,,,,,FALSE,
168,,,Đỗ Thị Vân Anh,311892909,XJAClVRzBEwgC@gmail.com,,,,,,,,,,FALSE,
169,,,Nguyễn Linh Chi,557670263,UkLQaORNrfMJQ@gmail.com,,Offer,,,,,,,,FALSE,
170,,,Vũ Thị Vân,602971772,fdmrZzoDYvUep@gmail.com,,,,,,,,,,FALSE,
171,,,Nguyễn Thị Thủy,168266543,oDHDBogdFvsPR@gmail.com,,,,,,,,,,FALSE,
172,,,Ngô Thị Chung,615231056,KDGTOhADqTikF@gmail.com,,,,,,,,,,FALSE,
173,,,Cao Thị Hằng,653930565,gvQQRnMFFpiZj@gmail.com,,Offer,,,,,,,,FALSE,
174,,,Nguyễn Thị Thanh Hoa,259123614,YKLsvyUdDaDKh@gmail.com,,,,,,,,,,FALSE,
175,,,Trần Khánh Vân,229902804,xZokHOOLArrks@gmail.com,,,,,,,,,,FALSE,
176,,,Nguyễn Thị Mỹ Duyên,172819944,pPKAQpNSpIYVx@gmail.com,,,,,,,,,,FALSE,
177,,,Trần Thị Thùy Linh,227679398,IucSMsjsyicTL@gmail.com,,,,,,,,,,FALSE,
178,,,Dương Thị Hương,391872385,sRelKMrhFrXKC@gmail.com,,Offer,,,,,,,,FALSE,
179,,,Phạm Công Sơn,769002376,wGpVoKwsBYTrI@gmail.com,,,,,,,,,,FALSE,
180,,,Phạm Ngọc Hà,842830436,eLwDEqEjtLvNr@gmail.com,,,,,,,,,,FALSE,
181,,,Nguyễn Thị Mai,002868451,fGQVeUbWAlKpx@gmail.com,,,,,,,,,,FALSE,
182,,,Đặng Thị Hoa,138241594,KveVbPzGpnkRz@gmail.com,,,,,,,,,,FALSE,
183,,,Nguyễn Thị Hồng Ngọc,458301946,lNDeLrEOzjdev@gmail.com,,,,,,,,,,FALSE,
184,,,Nguyễn Thị Hoàng Ngân,088519032,GheilUcoEiuXA@gmail.com,,,,,,,,,,FALSE,
185,,,Hoàng Thị Mộng Như,356668782,MxIKrqIFvIHMb@gmail.com,,,,,,,,,,FALSE,
186,,,Bùi Hồng Nhung,475859951,vtBreiEuBUUyx@gmail.com,,,,,,,,,,FALSE,
187,,,Vũ Như Quỳnh,565674776,JYXAJAMFpzpVx@gmail.com,,,,,,,,,,FALSE,
188,,,Nguyễn Thị Mai Hương,853460058,PrZYISbaMLxmo@gmail.com,,,,,,,,,,FALSE,
189,,,Nguyễn Vũ Mỹ Anh,120167947,gFxJihyNaGFLh@gmail.com,,,,,,,,,,FALSE,
190,,,Nguyễn Vân Anh,553649408,rVPniOyuGhyNa@gmail.com,,,,,,,,,,FALSE,
191,,,Phí Thu Phương,579435608,CzRTGjqmrVJsk@gmail.com,,,,,,,,,,FALSE,
192,,,Nguyễn Thị Phường,931437875,eblpmQbBLralT@gmail.com,,,,,,,,,,FALSE,
193,,,Cao Khánh Linh,674708010,BGMwbZNJLssPw@gmail.com,,,,,,,,,,FALSE,
194,,,Nguyễn Diệu Ngọc,780591029,UZMHSCaJEijNt@gmail.com,,,,,,,,,,FALSE,
195,,,Tạ Thị Cúc,588078258,bVHZsyHlToVJg@gmail.com,,,,,,,,,,FALSE,
196,,,Nguyễn Việt Hoàng,685025282,JEtHXJFTijTqH@gmail.com,,,,,,,,,,FALSE,
197,,,Bùi Thùy Linh,925668829,hHYFDBPiGiAiu@gmail.com,,,,,,,,,,FALSE,
198,,,Nguyễn Thị Thành,797200971,mLGtfbOjAYBFs@gmail.com,,,,,,,,,,FALSE,
199,,2023-07-28 00:00:00,Nguyễn Chí Tất Thành,049556093,lRDTzAigsmmoK@gmail.com,,,,,,,,,,FALSE,
200,,,Nguyễn Văn Tân,313940000,YwDrSGkFRwPgy@gmail.com,,,,,,,,,,FALSE,
201,,2023-07-28 00:00:00,Nguyễn Thảo My,053390570,qjSpuLOKdjuTx@gmail.com,,,,,,,,,,FALSE,
202,,,Đặng Ngọc Mai,156288014,GUVRGIEiTlUVB@gmail.com,,,,,,,,,,FALSE,
203,,,Nguyễn Thu Trang,044749843,oELZyepGdTlVR@gmail.com,,,,,,,,,,FALSE,
204,,,Vũ Thị Vân,225087128,IFFfQQpMJsLKJ@gmail.com,,,,,,,,,,FALSE,
205,,,Tuệ Nga,412971279,feupTyePSiojI@gmail.com,,,,,,,,,,FALSE,
206,,,Nguyễn Văn Đạt,114729578,wEBdUyvoAJogt@gmail.com,,,,,,,,,,FALSE,
207,,,Vương Thị Lâm Oanh,900913761,BediwSNKKwXba@gmail.com,,,,,,,,,,FALSE,
208,,,Nguyễn Bảo Ngọc,462941573,CMhsIzVwGiiak@gmail.com,,,,,,,,,,FALSE,
209,,,Phùng Mạnh Tài,702421458,dBVFKZcsnWRoz@gmail.com,,,,,,,,,,FALSE,
210,,,Phát Nguyễn,343507111,bMytTjyEQVoBd@gmail.com,,,,,,,,,,FALSE,
211,,,Nguyễn Thị Hạnh,947233809,RgiELMUOvkEpw@gmail.com,,,,,,,,,,FALSE,
212,,,Phạm Khánh Huyền,333703423,fzHRugEJNndje@gmail.com,,,,,,,,,,FALSE,
213,,,Vương Quốc Cường,568671088,juvyvwODXBSHf@gmail.com,,,,,,,,,,FALSE,
214,,,Lê Thùy Chi,813474877,XwZLBgCLCiwPl@gmail.com,,,,,,,,,,FALSE,
215,,,Ninh Hồng Phúc,320297562,GvrgsaNJtDcMY@gmail.com,,,,,,,,,,FALSE,
216,,,Nguyễn Thị Kim Thoa,871746240,KPLopBveOEJXh@gmail.com,,,,,,,,,,FALSE,
217,,,Lê Linh Trang,201762655,XrjMNswswvjNf@gmail.com,,,,,,,,,,FALSE,
218,,,Vũ Đức Huy,055698316,iRwQRLeLisSdh@gmail.com,,,,,,,,,,FALSE,
